College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Adelphi University](https://www.adelphi.edu/news/covid-19-vaccine-required-for-adelphi-university-students/)@@Adelphi University,Adelphi University,,"July 26, 2021",Private,NY,--,✓,--,D
[Agnes Scott College](https://www.agnesscott.edu/engaging-the-challenge-together//updates/vaccination-policy-fall-semester.html)@@Agnes Scott College,Agnes Scott College,,"May 7, 2021",Private,GA,✓,✓,--,D
[Albany College of Pharmacy and Health Sciences](https://myemail.constantcontact.com/2021-22-Campus-Update--1---Updated-Health-and-Safety-Protocols.html?soid=1101058277979&aid=qNzqeL1Mm6A)@@Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,,--,Private,NY,✓,✓,--,D
[Albany Law School](https://www.albanylaw.edu/news/message-the-dean-fall-2021-covid-policies)@@Albany Law School,Albany Law School,,"August 13, 2021",Private,NY,✓,✓,--,D
[Albert Einstein College of Medicine](https://einsteinmed.org/intranet/coronavirus/vaccination/requirements/)@@Albert Einstein College of Medicine,Albert Einstein College of Medicine,,"August 2, 2021",Private,NY,✓,✓,--,D
[Albertus Magnus College](https://www.albertus.edu/media-public-relations/press-releases/albertus-magnus-college-requiring-COVID-vaccination-for-fall.php)@@Albertus Magnus College,Albertus Magnus College,,"June 29, 2021",Private,CT,✓,✓,--,D
[Albion College](https://www.albion.edu/albion-college-to-require-a-covid-19-vaccination-before-returning-to-campus-for-the-fall-2021-semester/)@@Albion College,Albion College,,"May 19, 2021",Private,MI,✓,✓,--,D
[Alfred University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Alfred University,Alfred University,,"May 10, 2021",Private,NY,--,✓,--,D
[Allan Hancock College](https://www.hancockcollege.edu/news/newsreleases/08-11-2021%20AHC%20Vaccination%20Mandate.php)@@Allan Hancock College,Allan Hancock College,,"August 11, 2021",Public,CA,✓,✓,--,D
[Allegheny College](https://sites.allegheny.edu/covid19/2021/05/18/covid-19-vaccine-to-be-required-for-allegheny-students/)@@Allegheny College,Allegheny College,,"May 18, 2021",Private,PA,--,✓,--,D
