College,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Berkshire Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Berkshire Community College,2021-09-20,Public,MA,✓,✓,--,D
[Bristol Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Bristol Community College,2021-09-20,Public,MA,✓,✓,--,D
[Bunker Hill Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Bunker Hill Community College,2021-09-20,Public,MA,✓,✓,--,D
[Cape Cod Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Cape Cod Community College,2021-09-20,Public,MA,✓,✓,--,D
[Greenfield Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Greenfield Community College,2021-09-20,Public,MA,✓,✓,--,D
[Holyoke Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Holyoke Community College,2021-09-20,Public,MA,✓,✓,--,D
[Massasoit Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Massasoit Community College,2021-09-20,Public,MA,✓,✓,--,D
[MassBay Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@MassBay Community College,2021-09-20,Public,MA,✓,✓,--,D
[Middlesex Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Middlesex Community College,2021-09-20,Public,MA,✓,✓,--,D
[Mount Wachusett Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Mount Wachusett Community College,2021-09-20,Public,MA,✓,✓,--,D
[North Shore Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@North Shore Community College,2021-09-20,Public,MA,✓,✓,--,D
[Northern Essex Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Northern Essex Community College,2021-09-20,Public,MA,✓,✓,--,D
[Quinsigamond Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Quinsigamond Community College,2021-09-20,Public,MA,✓,✓,--,D
[Roxbury Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Roxbury Community College,2021-09-20,Public,MA,✓,✓,--,D
[Springfield Technical Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Springfield Technical Community College,2021-09-20,Public,MA,✓,✓,--,D
