College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Arizona State University](https://www.azcentral.com/story/news/local/arizona-education/2021/10/15/asu-ua-nau-arizona-universities-mandate-covid-19-vaccinations-all-employees/8469609002/)@@Arizona State University,2021-10-15,Public,AZ,✓,--,--,--,D
[Auburn University](https://ocm.auburn.edu/newsroom/campus_notices/2021/10/221530-vaccine-mandate.php)@@Auburn University,2021-10-22,Public,AL,✓,--,--,--,R
[East Carolina University](https://news.ecu.edu/2021/10/25/federal-contractor-vaccine-mandate/)@@East Carolina University,2021-10-25,Public,NC,--,✓,--,--,R
[Georgia Institute of Technology](http://health.gatech.edu/coronavirus/institute-operations)@@Georgia Institute of Technology,2021-10-26,Public,GA,--,✓,--,--,D
[Jackson State University](https://mississippitoday.org/2021/10/25/ihl-covid-vaccine-federal-order/)@@Jackson State University,2021-10-25,Public,MS,✓,--,--,--,R
[Kansas State University](https://www.k-state.edu/today/info/announcement/?id=78099)@@Kansas State University,2021-10-22,Public,KS,✓,--,--,--,R
[Michigan Technological University](https://blogs.mtu.edu/flex/2021/10/22/michigan-tech-affected-by-new-federal-mandates/)@@Michigan Technological University,2021-10-22,Public,MI,✓,--,--,--,D
[Mississippi State University](https://mississippitoday.org/2021/10/25/ihl-covid-vaccine-federal-order/)@@Mississippi State University,2021-10-25,Public,MS,✓,--,--,--,R
"[New Mexico State University-Alamogordo](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Alamogordo",2021-10-27,Public,NM,✓,--,--,--,D
"[New Mexico State University-Carlsbad](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Carlsbad",2021-10-27,Public,NM,✓,--,--,--,D
"[New Mexico State University-Dona Ana](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Dona Ana",2021-10-27,Public,NM,✓,--,--,--,D
"[New Mexico State University-Grants](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Grants",2021-10-27,Public,NM,✓,--,--,--,D
